text,true_label,prediction
"Why can't we consider the first Chinese woman an undercover agent of the Chinese Communist Party?! She actively pushes Marxist propaganda and mind poison (Critical Race Theory) to weaken the cohesion of the western society? 
#Democrats #politics #CRT #CCP #china #USA #Biden https://t.co/IAOxbdTEJQ",0,1
Via @RawStory: Maine Republican insisted he was the real victim after his stalking arrest – then he got busted for child porn https://t.co/BQ40JPyFg4 | #politics #trump #corruption,0,1
"According to @CAWP_RU data only 44 women have served as governors in American history. Once she's sworn in as governor of New York, Lt. Gov. Kathy Hochul will be the 45th woman. #Politics #NYC
https://t.co/JLVQHFiNzL",0,1
UFC fighter refuses to back down to Trans Mafia over meme: ‘I can’t be canceled’…-  #news #politics - https://t.co/tTmDtd0LAr,0,1
"Cuomo avoids public, ignores growing calls to resign after AG report as NYC mayor urges, 'get this over with' https://t.co/8wY6onPxF2  - @politic_talks #Politics #Political",0,1
Newsom urged to take action against Oakland crime spike: Community ‘under attack’ https://t.co/jjFiki9jsz  - @politic_talks #Politics #Political,0,1
1 week fr today is election day in #NovaScotia #MakeADifference #vote @IainTRankin &amp; the @LiberalPartyNS gave away your #natural heritage in a backroom deal #honesty #politics #saveowlshead @SaveOwlsHead Your children deserve better #nature deserves better. #conservation,0,1
Via @RawStory: Trump smears Capitol cops with misogynistic slur: report https://t.co/lgh3mabfO0 | #politics #trump #corruption,0,1
These political surrogates. We know it's not about altruism or genuine concern. It's all about political preference. We see you though. #Caribbean #Politics #Trolls https://t.co/s6iKKxGVK8,0,1
"Women in Politics to catalyse gender equality

See: https://t.co/TMvwICRSyC

#isrgrajan #MondayMotivation #Empowerment #Government #Politics #PoliticsinIndia #Women #womenempowerment https://t.co/s1tY5GoPb3",0,1
"Wiper Out: Kalonzo Musyoka To Pull Out From NASA Coalition agreement | #NasaDivorce #Politics 

Read More https://t.co/D3YHX7BNI3",0,1
