,text,label
3,"['9/11', 'families', 'welcome', 'Biden', 'memorial', 'event', 'unless', 'declassifies', 'evidence', 'https://t.co/k70u5t01zy', '-', '@politic_talks', '#Politics', '#Political']",0
4,"['religion', 'n', '#India', 'progress', 'prosper', 'separated', '#Politics', '.', 'Th', 'biggest', 'danger', 'n', ""today's"", 'time', 'mixing', 'politcs', '#religions', '.', 'political', 'debate', 'free', 'vidut', 'Hindus', '#Muslim', '.', 'fueled', '#journalist', '#media', '.', '#EducationForAll', 'culd', 'b', 'th', 'nly', 'rescue', 'https://t.co/LpllyFcsn6']",0
11,"['Israeli', 'hospital', ':', 'Majority', 'hospitalized', 'Covid', '-', '19', 'patients', 'fully', 'vaccinated', '…', '-', '#news', '#politics', '-', 'https://t.co/3DtWODK8yX']",0
13,"['""', '#Politics', 'Today', 'News', ':', ""#Trump's"", 'Surgeon', 'General', 'slammed', ""Florida's"", 'ban', 'mask', 'mandates', ':', ""'"", 'letting', 'politics', 'get', 'way', 'protecting', 'youth', ""'"", '#News', '""', ':', 'https://t.co/5vVvkDmTRR']",0
15,"['Bipartisan', 'infrastructure', 'bill', ':', '19', 'GOP', 'senators', 'vote', '$', '1T', 'legislation', 'https://t.co/qeObExjIUq', '-', '@politic_talks', '#Politics', '#Political']",0
17,"['Senators', 'look', 'towards', 'bipartisan', 'Capitol', 'security', 'funding', 'deal', 'https://t.co/FOWiOckvbq', '-', '@politic_talks', '#politics', '#politic']",0
18,"['Politics', 'India', 'caste', 'oriented', '.', '#politics', '#India']",0
19,"['Via', '@RawStory', ':', 'Mask-bashing', 'Maine', 'Republican', 'loses', 'wife', 'COVID', '-', '19', 'contract', 'virus', 'https://t.co/brh2MnE4kI', '|', '#politics', '#trump', '#corruption']",0
23,"['ClubsNSW', 'try', 'pretend', 'whistleblower', '.', 'Andrew', 'Wilkie', 'MP', ',', 'knows', 'truth', '.', '#ClubsNSWindenial', '#leadership', '#trust', '#ethics', '#culture', '#justice', '#politics', '#law', '#moneylaundering', 'https://t.co/bnUSqZcn83']",0
27,"['Dominic', 'Raab', 'dodged', 'quarantine', 'France', 'trip', '-', 'met', 'Princess', 'Anne', 'two', 'days', 'later', ':', 'Mr', 'Raab', 'visited', 'France', 'gave', 'amber', 'plus', 'rating', 'July', 'due', 'concerns', 'rising', 'infections', ',', 'meant', '…', 'https://t.co/drgSeI8zlu', '#Politics', 'FOLLOW', '@torysleazeUK', 'https://t.co/nH7FHm3VZ4']",0
28,"['smell', '2022', 'somewhere.Kwa', 'ground', 'vitu', 'zimekuwa', 'tough', '#Railaodinga', '#Orengo', '#elections2022', '#wiliamruto', '#politics', 'https://t.co/Fh6Jo7uXmu']",0
34,"['’', 'Trump', 'criticizing', '2012', 'Election', '(', 'Obama', 'pop', '.', 'vote', 'idk', '’', 'talking', ')', 'winning', 'election', '2016', 'despite', 'loosing', 'popular', 'vote', '.', 'irony', 'great', '😭', '.', '#Politics', '#Trump', '#Democracy', '#Electoralcollege', 'https://t.co/jlOi6MWJtH']",0
35,"['#Business', '#Healthcareindustry', '#Politics', '#USEconomy', 'calls', 'moratorium', 'Covid', 'vaccine', 'boosters', 'least', 'September', '-', 'CNBC', 'https://t.co/rZOh1pBiW7']",0
40,"['TODAY', 'Mike', 'Cargile', 'joins', '@TheFirstonTV', 'discuss', 'election', 'integrity', 'Governor', 'Newsom', 'recall', '#ElectionIntegrity', '#Newsom', '#RecallGavinNewsom', '#ElectionTwitter', '#California', '#votes', '#politics', '#Government', 'https://t.co/37wI2iklWK']",0
46,"['EUROPE', ':', '-', '-', '-', 'Israel', 'sides', 'Turkey', 'Cyprus', 'dispute', '|', 'Source', ':', 'Al', 'Monitor', '-', '-', '-', 'Tags', ':', '#Conflicts', '#Geopolitics', '#Geoeconomics', '#ForeignPolicy', '#ForeignAffairs', '#Alliances', '#StrategicResources', '#Powerbalance', '#InternationalRelations', '#Politics', '#Security', 'https://t.co/JphfVdlFf9']",0
47,"['#executives', 'regularly', 'test', 'penetration', 'key', '#communications', 'across', 'organisations', '.', 'let', 'self', 'serving', 'agendas', 'middle', ',', 'obscure', '!', '#business', '#politics', '#Management']",0
51,"['Addressing', 'Democrats', ""'"", 'reconciliation', 'bill', ',', 'Senator', '@JohnCornyn', 'questions', 'constituents', 'subsidize', 'development', 'electric', 'vehicles', '""', 'rich', 'people', '""', 'drive', '""', 'feel', 'good', '""', '#news', '#politics']",0
57,"['Via', '@RawStory', ':', 'New', 'York', 'governor', 'Andrew', 'Cuomo', 'resigns', 'sexual', 'harassment', 'investigation', 'https://t.co/TSVGQQ9glV', '|', '#politics', '#trump', '#corruption']",0
61,"['Side', 'side', 'comparison', 'news', '.', 'Comment', 'overt', 'bias', 'under-reporting', '.', 'Share', 'support', 'informed', 'democracy', '.', '#news', '#politics', '#media', '#msnbc', '#cnn', '#fox', '-', ':', 'https://t.co/OCTLN0v95U', 'https://t.co/17ZT8A4wMF']",0
62,"['Lawsuit', 'says', 'OAN', 'touted', ""'"", 'mathematician', ""'"", 'call', 'election', 'rigged', '—', 'really', 'swing', 'set', 'installer', 'https://t.co/23DtpQ1l8U', '#politics', '#feedly']",0
69,"['#Afghanistan', '#War', '#Taliban', '#UnitedStates', '#Politics', '#USA', '#EU', '#Refugee', '#Crisis', '#UN', '#Military', 'near', '5000', 'getting', 'plane', 'Afghanistan', 'based', 'Pentagon', 'projection', '.', 'State', 'Department', 'got', 'caught', 'complacent', '.', 'https://t.co/l2KmY4thaT']",0
