text,true_label,prediction
More rhetoric from Tony Blair. Tony Blair enjoyed power but he lacked the policies &amp; integrity. Winning Power is no good to us without the policies and integrity. Corbyn had the policies &amp; integrity &amp; would have won if it had not been for self-serving right wing Labour. #Politics,1,0
Biden announces nearly $5 billion to bolster weather and climate disasters resilience https://t.co/sPSd7Pd9r8 #Politics https://t.co/eQQT8822Zi #Biden #announces #nearly #$5 #billion #in #wear #and #climate #disasters #resilience #  159,1,0
So sad. Please stop killing yourselves and our fellow citizens!! #Science not #politics #GetVaccinatedNow #GetVaccinated #CovidIsNotOver #COVID19 https://t.co/f1LhaOllOm,1,0
BREAKING: Israel to roll out third coronavirus vaccine shot as a booster for citizens aged 60 and above #News #Economy #Politics,1,0
CDC Says ‘New Data’ Shows COVID Cases in Vaccinated People Can Transmit as Much Virus as Unvaccinated #news #politics #covid19 #journalism  https://t.co/R9T0pLOjiP,1,0
Hey folks! Here's a post you've missed! Read about why.... 'Low-Income Housing Is Designed To Keep You Poor.'  https://t.co/qXlOhkCoBt #Poverty #Politics #PublicHousing,1,0
#NewsBreak   #Poland 's ruling coalition topples after #PM ousts deputy   #pakustv #NYC #politics #Gowinout #warsaw #Europe #Morawiecki  https://t.co/KBZCD4zsTE,1,0
"SHOWDOWN: Broward County School Board Refuses to Drop Mask Mandate, Voting to Keep It, Defying Gov. DeSantis #News #Politics   https://t.co/5w59UkJvdo",1,0
Chilean ministers meet with Sinovac executives over a potential vaccine production site https://t.co/GHQ9MbboDA #Politics https://t.co/eQQT8822Zi #Chilean #ministers #meet #with #Sinovac #executives #over #potential #vaccine #production #site #  763,1,0
Pompeo: GOP's future depends on upholding faith-based virtues | Fox News #uspoliticalnews #politics #usnews #news https://t.co/ZnowDSlApQ,1,0
"Anti-government protesters rallied at the Victory Monument calling on PM #Prayut to step down, before they were dispersed by riot police. #BangkokPost #Thailand #politics https://t.co/NeqhE9agmc",1,0
