text,true_label,prediction
"#politics #government Democrats put domestic terrorism message at risk by embracing BLM pick Tracy Stone-Manning: By lining up behind Tracy Stone-Manning, Democrats may have guaranteed her confirmation to head the Bureau of Land https://t.co/eqb7yom2Zh https://t.co/CMc2kZUkM9",1,0
Mo Brooks; Spanky lapdog @realDonaldTrump's 1/6 Useful-Idiot #politics  https://t.co/jJcAeg3GVh,1,0
Via @RawStory: This is the bleakest report card yet on climate change and Earth's future. Here's what you need to know https://t.co/7psrIdCcou | #politics #trump #corruption,1,0
"U.S military caught smuggling ISIS into #Afghanistan   “There’s no way such operations were carried out unbeknownst to the US and NATO forces that had complete control of Afghanistan’s airspace”  Maria Zakharova Russia Foreign Ministry Spokeswoman . #Politics, #World, #News",1,0
Via JoshTPM: Vaccines and Polarization https://t.co/lq8tGTLjDJ | #trump #elections #politics,1,0
A poll has found two-thirds of Britons support increasing National Insurance (NI) contributions to pay for social care reform. Would you support or oppose increasing national insurance contributions to pay for social care? #Politics,1,0
Australia refuses to commit to net zero emission in the next 30 years https://t.co/VEWBMVGKtt #Politics https://t.co/eQQT8822Zi #Australia #refuses #to #commit #to #net #zero #emission #in #next #30 #years #  820,1,0
"JUST IN: Australian advisory group amends advice on Astrazeneca vaccine, calls on all adults in Sydney to strongly consider getting the vaccine, amid rising case numbers. #News #Economy #Politics",1,0
@StarsOverWashington Uranus-Pluto: Could Biden's American Rescue Plan overturn the #Reagan #Revolution ? https://t.co/sH8vYL5suV #URANUS #Pluto #politics #astrology,1,0
"Nobody claims to be a #secular, except when we eat their Holy Cows - they plead with us to 'stop' our #religious #politics.  #GauMata",1,0
Indian opposition leaders will be soon history if they keep making issues out of nothing.  #Politics #Parliament #Pegasus https://t.co/ec85AcQuL6,1,0
Huge worldwide child exploitation network taken down by German authorities…-  #news #politics - https://t.co/stTLuVbbdz,1,0
Here's what West Bengal CM Mamata Banerjee said following her meeting with Congress chief Sonia Gandhi   #Video #WestBengal #MamataBanerjee #India #Politics  https://t.co/1SBMIyNNZ9,1,0
Huge global child abuse cartel taken down by German authorities…-  #news #politics - https://t.co/stTLuVbbdz,1,0
"#politics #government Ronny Jackson, former White House doctor, predicts Biden will step aside: Rep. Ronny Jackson (R-Texas), the controversial former White House physician, said on Thursday that he believed President Biden would res https://t.co/lQ6OFA40VI https://t.co/5hlfsdtuu2",1,0
Did #DonaldTrump egg on a Crowd for Violence *January 6th*  that Left #OfficerBrianSickNick Dead?  Wrong is Wrong ... Regardless of #Politics  #Position or #Race   I Feel for *all* Police Officers slain in the #LineOfDuty   RIP Hero Ella French #ChicagoPD https://t.co/5SxaLPUXzw,1,0
I'm torn on this 🤔 . #cannabis #finance #politics . Billionaire Charles Koch to Spend $25M Lobbying for Federal Legalization https://t.co/6jT1yBs1Ms via @ganjapreneur,1,0
"Did you know that...  This year, Estonia became the first country in the world to have both an elected female president and a female prime minister?  Young women need female role models to inspire success!  #DYK #womenempowerment #estonia #politics",1,0
"Controversial part 2., but why is the ATF being allowed to unilaterally rewrite and enforce firearm laws and interpretations?  Thought you guys were into democracy or constitutional republics? #Politics #atf #fightdavidchipman https://t.co/NcwQ6uIYRr",1,0
@SuelleSSA Read it &amp; had to wonder who wrote such drivel. This Press Release seems to take us women for idiots 😡😡  #Jamaica’s 2 #political parties need to clean up their behaviours toward #women in #politics &amp; in general.,1,0
Republicans Like Bob Corker Have Nowhere to Turn https://t.co/TaaO40dNQE #BobCorker #Tennessee #USA #US #WashingtonDC #politics #Democrats #Republicans #RepublicansAreTheProblem #GOP #GOPBetrayedAmerica #TrumpCrimeFamily #Biden #BidenAdministration,1,0
Trump vs Biden…..what a joke. The “most popular” President town hall is more empty than school board meetings. #townhall #trump #biden #politics https://t.co/TbYdOQjGtL,1,0
Police pursuit of stolen bus derailed by new Washington law | Washington Examiner #uspoliticalnews #politics #usnews #news https://t.co/f6TgMIAMfV,1,0
"Republican Lawmakers Move To Scuttle Mr. Biden’s Outlandish Spending Plans #Republican #lawmakers #Biden #spending #inflation #politics #economy #Trump “Mr. Biden’s White House has shifted the way it talks about inflation, as polls show increasing voter c… https://t.co/4rMX8IcF1L",1,0
"The #January6thCommission should not only examine the events at the U. S. Capitol but also the root cause of it, polarization in #politics and the blatant disrespect for the outcome of the #election by some https://t.co/cRXtOOE5nX",1,0
"Blinken warns against Taliban control, preaches path to peace https://t.co/9UZWQYjOzp  - @politic_talks #politics #politic",1,0
"Wow, staring at Twitter at 5:30 in the morning and seeing all of these people complain about #Politics or someone else's #mentalhealth hit me different this morning. It just really doesn't matter. Waste of energy. So much hate.",1,0
American Greatness: The Biden Administration is exploiting phony concerns about terrorism to try to crush Trump and his supporters…-  #news #politics - https://t.co/Odneif3mbt,1,0
Russian President Vladimir Putin has warned that its navy is poised to deliver an 'unpreventable strike' on enemy targets should they interfere with the country's 'national interests.' #Russia #Politics,1,0
The resignation is expected to allow the opposition alliance to form the new government. CPN-Maoist Centre’s Kul Prasad KC is likely to be appointed the next chief minister. #Nepal #Politics #Lumbini https://t.co/5TeDBExR9M,1,0
@nm_kitkat @Yorkville115 @kendallhealth @TimShimp This year you have parents being egged on by #politics &amp; people trying to run for Governor from Central IL pushing districts like @Yorkville115 to end these measures saying they didn’t work. They neglect to recall they worked in Yorkville,1,0
"PM @NarendraModi was not allowed to introduce his 43 new ministers in the #ParliamentMonsoonSession but now #BJP will, through a 3-day long #JanAshirwaadYatra starting Aug 16 in 19 states, @AmanKayamHai_ reports 👇  #Politics #CabinetExpansion #India   https://t.co/8CxtbYNDlZ",1,0
Via @RawStory: 'Patriots will never forget!' Desperate Trump threatens 'lots of primaries' if GOP gives Biden an infrastructure win https://t.co/6E0ZGQwpyD | #politics #trump #corruption,1,0
"Boris Johnson reportedly wants to replace Gavin Williamson as education secretary with Kemi Badenoch, known for her attacks on so-called “woke” education campaigners, it has been claimed. Would you support or oppose this replacement? #Politics",1,0
"I will vote NO on Sept 14 #California Governor recall election. I encourage others to also vote NO. Next regular election is 2022! If the recall passes, some random leader from the 46 candidates — likely with only a minority of votes — would become governor. That's scary. Just say no! #election #politics",1,0
Via @RawStory: Fringe NY candidate who stormed the Capitol revealed by his own campaign’s Instagram account https://t.co/2dn4hiOfNr | #politics #trump #corruption,1,0
