text,true_label,prediction
Via @RawStory: Biden takes aim at Trump https://t.co/nyhSSwqsRE | #politics #trump #corruption,1,0
Read ‘The Washington Post’ and the Toxicity of False Equivalence by @TJWest3 https://t.co/AQRRCZDhKp #Politics #Government #Journalism #MediaCriticism #MainstreamMedia,1,0
Democrats unveil outline for $3.5T federal budget resolution package https://t.co/qHbKcRQkc4 - @politic_talks #politics #politic,1,0
Jake Ellzey secures victory in Texas special election over Trump-backed Susan Wright https://t.co/y7CIoeuQFO  - @politic_talks #Politics #Political,1,0
Via @RawStory: 'Boot-licking chump' George P Bush shredded after Trump humiliatingly backs his opponent https://t.co/BQ5ASU9D0C | #politics #trump #corruption,1,0
#Republicans; Just ADMIT You're Openly Trying To Cheat!! #politics  https://t.co/SLfbo9Zwhl,1,0
Guess why brazilian billionaires don't live in Brazil? Because they are not fools. #Brazil #Politics #Investiments #MilitaryCoup #Communism,1,0
Drug tests for MPs? @BorisJohnson #Politics #SubstanceMisuse https://t.co/Dx3iKfol1V,1,0
AL leader hacked to death in Bogura #Politics   https://t.co/DCM6hEknW1,1,0
"Runaway Texas Democrats in DC snag pep talks from Stacey Abrams, the Clintons https://t.co/xwhyd52RVI  - @politic_talks #Politics #Political",1,0
Jamie Lee Curtis reveals her 25-year-old offspring is transgender https://t.co/9bWxYA4i4w  - @politic_talks #Politics #Political,1,0
#Politics #NewYork #Government #SexualHarassment ⁦@NYGovCuomo⁩ —> Governor Andrew Cuomo Is Officially Resigning https://t.co/6y1NZZQyAZ,1,0
Via @MotherJones: Long List of Top Republicans the 1/6 Committee Should Be Questioning https://t.co/mDYnaMfQ0N | #politics #trump #election2020,1,0
The racial reckoning comes for… classic board games?-  #news #politics - https://t.co/Yw92Fa9dmb,1,0
